GeoName,LineCode,Description,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3
New Mexico,83,  Government and government enterprises,17209.4,17434.8,17786.3,17671,18318.6,18118.1,17506.8,17848.5,17898.1,18212.4,18734.2,18571.5,18933.4,18987.7,19204.5,19238.5,19433.2,19479.2,19760.7,20155.4,20019.6,20395.8,20377.8,20431.4,20360.1,20567.4,20872.1,20929.3,20814.9,21151,21177.2,21270,21220.5,21283.4,21391.1,21531.4,21466.3,21570.9,21696.5,21800,21674.6,21944.3,21894.9,22317.5,22115.8,22542.7,22623.8,22497.7,22618.3,22599.3,22739.7,22865.3,23035.5,23180.2,23558.8,23550.3,23758.1,23868.6,24309.9,24534.6,24832.5,24564.2,24997.1
New York,1,All industry total,988106,1002916.1,1019942.8,1037758.5,1062518.8,1063982.1,1063746.1,1084291.9,1131772.5,1103240.4,1105567.8,1098413.6,1113171.4,1098188.6,1105619.6,1089567.4,1104993,1150523.7,1164277.3,1184181.6,1202784,1228293.1,1213670.3,1205193,1233701.4,1228438.3,1234301.8,1252669,1285455.8,1313917.6,1335168,1359061.7,1334470.2,1351477.4,1368066.2,1393837.8,1393629.2,1413271.9,1438376.9,1457618.6,1466074.9,1490925.5,1500666.7,1484816.2,1530706,1546419.2,1544558.6,1562267.1,1591432.8,1587931.5,1607486.4,1648710.1,1675422,1703877.1,1720476,1720265.7,1746190.9,1771545.4,1779739.8,1791566.8,1778240,1587879.2,1705127
New York,2,  Private industries,874301,888058.9,903340,919294.2,946939.6,944859.2,944673.6,961763.2,1007017.9,976700.9,978632.7,971051.8,983169.9,966817.9,973376.4,955593.3,970040.9,1013928.2,1028007.5,1046235.8,1061678.2,1086976.8,1071748.3,1063974.4,1091440.9,1085002.4,1092974.1,1111764.6,1143449.5,1172002.5,1191057.5,1212591.1,1184284.6,1200483.6,1215415.4,1240793.8,1241513.8,1260221.8,1282991.4,1302645.9,1310545.4,1334714.2,1343195.5,1327300.6,1373074.2,1389987.9,1388190.8,1403927.7,1430763.7,1426063.8,1444659.3,1484816.9,1500531.9,1526367.7,1540060.6,1537890.9,1563463.5,1586912.3,1593220.2,1605138.3,1591940.4,1409049.8,1524935.6
New York,83,  Government and government enterprises,113805,114857.1,116602.8,118464.3,115579.2,119122.9,119072.6,122528.7,124754.7,126539.6,126935.1,127361.8,130001.5,131370.8,132243.2,133974.1,134952.1,136595.5,136269.8,137945.8,141105.7,141316.3,141922.1,141218.6,142260.6,143435.9,141327.7,140904.5,142006.3,141915.1,144110.5,146470.5,150185.6,150993.8,152650.9,153044.1,152115.4,153050.1,155385.5,154972.7,155529.5,156211.3,157471.2,157515.6,157631.8,156431.3,156367.8,158339.4,160669.1,161867.7,162827.1,163893.2,174890.1,177509.4,180415.4,182374.7,182727.4,184633.2,186519.6,186428.5,186299.6,178829.4,180191.4
North Carolina,1,All industry total,346098.6,346908.1,353288.7,359053.6,376061.1,381939.2,384233.5,388962,395092.3,395396.2,395827.9,400212.5,409759.3,413129.8,416799.4,412571.2,398431.2,402789.4,409551,416559.8,409784.1,413754.6,416021.8,423279.4,421639,428885.5,427113,428639.9,437572.2,436567.4,442306.8,441712.3,448151.9,450066.3,457991.5,464857.3,468705.8,472139.3,480179.3,484016.5,495251.8,502062.4,506448,507471.3,513542.7,516445.9,521293,530144.7,534530.3,536556.7,541827.7,551248.2,556731.6,567963.7,569085.4,576026,581020.2,588477.4,595117.9,601787.9,600630.9,546775.7,594125.5
North Carolina,2,  Private industries,299289.6,299742.9,305353.8,310245.2,326774,331716.7,333052.9,336162.3,341673,341008.8,340332,343900.4,352279.6,355052.1,357115.1,352503.2,337538.9,341785.7,348588.1,355267.4,347182.2,350900.7,353127.5,359939.1,357983.9,364494.5,363414.4,365397.8,374413.6,373806,379151.1,378163.4,384497.9,386016.7,393687.3,400365.8,404434.5,407179.3,414261,417902.4,427423.3,434456.3,438689.4,438273.4,445539.6,448234.6,451133.6,458868.1,463606.1,464543.2,469484.2,477770.1,482320.2,492229.6,493292.4,499495.6,503390.2,510117.4,516262.1,522656.1,520499.1,469127.3,514877.8
North Carolina,83,  Government and government enterprises,46809,47165.2,47934.9,48808.4,49287.1,50222.5,51180.7,52799.8,53419.3,54387.4,55496,56312.1,57479.6,58077.7,59684.3,60067.9,60892.3,61003.6,60962.9,61292.5,62601.9,62854,62894.3,63340.3,63655.1,64391.1,63698.5,63242,63158.6,62761.4,63155.7,63548.8,63654,64049.6,64304.2,64491.6,64271.4,64960,65918.3,66114.1,67828.5,67606.2,67758.6,69197.9,68003.1,68211.3,70159.4,71276.6,70924.2,72013.5,72343.5,73478.2,74411.5,75734.1,75793,76530.4,77630.1,78360,78855.8,79131.8,80131.8,77648.3,79247.7
North Dakota,1,All industry total,24097.5,24308.3,24501.2,24937.5,25434.1,26124.3,26363.7,26914,27712.2,28340.5,29014.6,30059.6,31039.9,31861.2,32593.4,31913.9,31830.1,31664.6,32421.2,33042.9,34124.2,35183,36101.2,37349.2,38436.4,40237.4,41928,45148,48536.4,51358.6,52800.5,53803,52424.7,53229.5,54801.4,54477.9,56154,58901,59692.5,59972.1,56604.9,55529.3,54542.6,53599.5,50880.3,50457.7,50851.6,50979.4,52092.8,52847.1,52373.8,53114.7,55044.9,56159.6,56912.7,57029.9,56696.4,57356.8,57198.6,57471.9,56417.5,49880.8,54043.7
North Dakota,2,  Private industries,20287,20531.7,20762.3,21083.3,21512,22132.8,22341.7,22828.5,23619.7,24210.8,24891.2,26007.1,27078.4,27945.7,28665.3,27881.6,27582.4,27240,27860.5,28421.8,29269.3,30326.2,31172.9,32464.9,33452.2,35277.8,37005.5,40120.5,43490,46253.1,47733.3,48765.5,47489.2,48290.1,49838,49464.3,51003.8,53675.5,54317.3,54463.8,50920.5,49776.6,48700.1,47793.2,44973.8,44622.1,45022.5,45011.8,46078,46827.4,46332.8,47010.6,48901.9,49916.8,50587.9,50678.6,50236.3,50828.4,50607.1,50829.9,49722.7,43469.4,47196.4
North Dakota,83,  Government and government enterprises,3810.5,3776.6,3739,3854.2,3922.1,3991.5,4022,4085.5,4092.5,4129.8,4123.5,4052.5,3961.4,3915.6,3928.1,4032.3,4247.7,4424.7,4560.6,4621.2,4854.9,4856.8,4928.3,4884.4,4984.2,4959.6,4922.4,5027.5,5046.5,5105.5,5067.2,5037.5,4935.5,4939.3,4963.4,5013.6,5150.1,5225.5,5375.2,5508.2,5684.4,5752.7,5842.5,5806.3,5906.5,5835.6,5829.1,5967.6,6014.8,6019.7,6041.1,6104.1,6143,6242.8,6324.9,6351.3,6460,6528.5,6591.6,6642,6694.8,6411.4,6847.3
